accountID,town,country,age,job,married,education,defaulted?,current_balance,housing,has_loan,last_contact,cc_tr,last_contact_day,last_contact_month,campaign,days_since_last_contact,previous,poutcome,made_deposit
24634684,Crawley,UK,39,management,married,tertiary,no,-190,no,yes,unknown,1,11,jun,8,-1,0,unknown,yes
80795929,Southend-on-Sea,UK,53,housemaid,married,primary,no,362,no,no,cellular,1,28,jul,2,-1,0,unknown,yes
30786087,Gillingham,UK,79,retired,divorced,primary,no,2787,no,no,telephone,5,13,jul,1,377,1,success,yes
38925327,Gateshead,UK,43,services,single,secondary,no,550,yes,no,cellular,4,13,may,2,-1,0,unknown,no
30560733,Eastbourne,UK,35,technician,single,secondary,no,344,no,no,cellular,2,27,aug,16,-1,0,unknown,yes
87009742,Cambridge,UK,24,student,single,secondary,no,139,no,no,cellular,1,9,sep,4,-1,0,unknown,yes
64060643,Eastbourne,UK,49,blue-collar,divorced,primary,no,24,yes,no,cellular,5,11,may,1,362,1,success,yes
64609858,London,UK,54,self-employed,single,tertiary,no,384,no,yes,cellular,4,27,may,1,-1,0,unknown,yes
69018404,Colchester,UK,29,services,married,primary,no,-102,no,no,unknown,4,4,jul,1,-1,0,unknown,no
65740222,Bristol,UK,56,blue-collar,single,secondary,no,1187,yes,no,cellular,2,5,feb,2,-1,0,unknown,no
29661157,Newport,UK,47,blue-collar,married,primary,no,4157,no,no,unknown,2,11,jun,3,-1,0,unknown,no
34139582,Kingston upon Hull,UK,33,blue-collar,married,secondary,no,0,yes,no,cellular,3,19,nov,2,-1,0,unknown,no
24296510,London,UK,41,blue-collar,married,secondary,no,193,yes,no,unknown,5,29,may,1,-1,0,unknown,no
11825220,Southampton,UK,41,blue-collar,married,secondary,no,2823,yes,no,unknown,2,14,may,1,-1,0,unknown,yes
75837861,Liverpool,UK,44,admin.,single,secondary,no,1534,no,no,cellular,3,7,aug,1,99,2,other,yes
54575562,Kingston upon Hull,UK,29,technician,single,secondary,no,590,no,no,cellular,2,25,may,1,-1,0,unknown,yes
64801198,Telford,UK,53,blue-collar,married,secondary,no,5700,yes,no,unknown,4,14,may,1,-1,0,unknown,no
62301291,Slough,UK,56,unemployed,single,primary,no,1110,no,no,cellular,4,4,feb,2,-1,0,unknown,yes
12682955,Eastbourne,UK,32,management,married,tertiary,no,62,yes,n,telephone,1,13,nov,1,-1,0,unknown,no
82798557,Glasgow,UK,42,admin.,married,primary,no,1547,yes,yes,unknown,5,27,may,3,-1,0,unknown,no
64772914,Birmingham,UK,41,technician,divorced,secondary,no,1631,yes,no,cellular,4,12,aug,2,-1,0,unknown,no
15829584,Dundee,UK,66,management,married,secondary,no,587,no,no,cellular,3,12,may,2,392,2,success,yes
98447583,Stoke-on-Trent,UK,37,management,married,tertiary,no,6771,no,no,cellular,4,5,mar,1,-1,0,unknown,yes
58631380,London,UK,34,blue-collar,single,secondary,no,79,no,yes,cellular,4,20,nov,1,-1,0,unknown,no
55054208,Nottingham,UK,55,admin.,married,secondary,no,602,no,no,cellular,3,4,feb,2,150,6,success,yes
40465501,Slough,UK,29,technician,single,tertiary,no,0,yes,no,cellular,5,7,may,2,337,6,failure,yes
23892589,Swindon,UK,56,unemployed,married,secondary,no,660,yes,no,unknown,4,6,jun,3,-1,0,unknown,no
44430058,Swindon,UK,47,management,married,tertiary,no,60,no,no,unknown,2,2,jun,7,-1,0,unknown,no
36222630,Manchester,UK,56,services,divorced,secondary,no,72,yes,yes,cellular,1,7,may,1,357,4,failure,no
48878462,Blackburn,UK,50,blue-collar,married,unknown,no,605,yes,no,unknown,3,15,may,1,-1,0,unknown,no
13553207,Reading,UK,48,services,divorced,primary,no,-110,no,yes,unknown,1,19,jun,2,-1,0,unknown,no
93449999,Plymouth,UK,36,unemployed,divorced,secondary,no,5,yes,no,cellular,4,8,jul,1,-1,0,unknown,no
21134341,Warrington,UK,42,technician,married,secondary,no,0,no,no,cellular,3,30,jul,2,-1,0,unknown,no
51065542,Manchester,UK,40,technician,married,secondary,no,192,no,no,cellular,1,7,aug,2,-1,0,unknown,no
90919921,Glasgow,UK,35,admin.,single,secondary,no,182,yes,no,unknown,4,3,jun,1,-1,0,unknown,no
42271006,Derby,UK,38,self-employed,married,secondary,no,215,yes,no,cellular,2,20,nov,1,167,1,failure,no
42366326,Gillingham,UK,27,management,single,tertiary,no,12956,yes,no,unknown,4,29,may,3,-1,0,unknown,yes
25201367,Peterborough,UK,35,entrepreneur,married,secondary,no,2971,no,no,cellular,4,4,may,4,164,2,failure,yes
14987490,Birkenhead,UK,37,management,married,tertiary,no,3556,no,no,cellular,1,9,nov,1,-1,0,unknown,yes
88599834,Chesterfield,UK,37,services,married,secondary,no,1,no,no,unknown,2,15,may,2,-1,0,unknown,no
54360695,Bristol,UK,32,blue-collar,married,secondary,no,320,yes,yes,cellular,1,3,feb,4,-1,0,unknown,no
34480461,London,UK,33,management,married,tertiary,no,3401,no,no,cellular,4,20,nov,1,-1,0,unknown,yes
35040739,County Down,UK,27,blue-collar,single,secondary,no,181,no,no,unknown,5,13,may,1,-1,0,unknown,no
29662589,Portsmouth,UK,37,management,married,tertiary,no,1125,yes,no,unknown,4,3,jun,1,-1,0,unknown,no
22116726,Telford,UK,58,retired,divorced,tertiary,no,499,yes,yes,cellular,5,29,jan,1,-1,0,unknown,no
40746617,London,UK,44,technician,single,secondary,no,7138,no,no,cellular,1,8,aug,2,-1,0,unknown,yes
93548663,Poole,UK,35,management,single,tertiary,no,1750,yes,no,cellular,3,21,apr,3,-1,0,unknown,yes
16091007,Rotherham,UK,18,student,single,unknown,no,108,no,no,cellular,2,8,sep,1,-1,0,unknown,yes
25905644,Raleigh,UK,30,blue-collar,divorced,secondary,yes,457,yes,no,unknown,3,20,jun,20,-1,0,unknown,no
74697106,County Down,UK,40,technician,married,secondary,no,7313,yes,no,cellular,3,18,nov,2,182,1,failure,no
87299085,Gillingham,UK,53,management,married,tertiary,no,1356,yes,no,cellular,1,5,aug,2,93,2,failure,no
80154465,Colchester,UK,59,admin.,married,secondary,no,3735,no,no,cellular,5,18,mar,4,121,2,failure,yes
73742663,Doncaster,UK,28,self-employed,married,secondary,no,-522,yes,yes,cellular,3,18,may,2,-1,0,unknown,yes
35774884,Luton,UK,38,unknown,single,tertiary,no,0,no,no,cellular,2,11,sep,3,95,3,success,yes
33338158,Solihull,UK,31,management,single,tertiary,no,0,no,no,cellular,4,25,aug,12,-1,0,unknown,no
